2026-02-26 15:44:44,879 | INFO | uvicorn.error | Started server process [5502]
2026-02-26 15:44:44,879 | INFO | uvicorn.error | Waiting for application startup.
2026-02-26 15:44:44,880 | INFO | app | Starting API with env=development db=postgresql+asyncpg://postgres:postgres@localhost:5432/task_manager
2026-02-26 15:44:45,286 | INFO | uvicorn.error | Application startup complete.
2026-02-26 15:49:10,553 | INFO | app | [43aea3fd] OPTIONS /api/v1/tasks?page=1&page_size=10 -> 200 (2.79ms)
2026-02-26 15:49:10,556 | INFO | uvicorn.access | 127.0.0.1:62469 - "OPTIONS /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:49:10,714 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 15:49:10,720 | INFO | app | [bac68ab8] GET /api/v1/tasks?page=1&page_size=10 -> 200 (161.37ms)
2026-02-26 15:49:10,720 | INFO | uvicorn.access | 127.0.0.1:62469 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:49:36,237 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=1 total=1
2026-02-26 15:49:36,241 | INFO | app | [68e8868d] GET /api/v1/tasks?page=1&page_size=10 -> 200 (100.25ms)
2026-02-26 15:49:36,241 | INFO | uvicorn.access | 127.0.0.1:62646 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-26 15:50:15,169 | INFO | app | [30211532] OPTIONS /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (1.81ms)
2026-02-26 15:50:15,171 | INFO | uvicorn.access | 127.0.0.1:62905 - "OPTIONS /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 HTTP/1.1" 200
2026-02-26 15:50:15,318 | INFO | app | [fa211343] GET /api/v1/tasks/9346c17a-25ab-41f7-a09f-519838aa3bc9 -> 200 (143.98ms)
